Days,Miles,Receipts,Reimb
4,448,2055.97,1497.46
8,466,2064.63,1558.12
12,229,1216.16,1696.65
13,658,559.48,1573.12
13,1034,2477.98,1842.24
4,842,2464.29,1611.66
13,837,1218.93,1921.68
11,927,1306.37,1804.68
4,1047,1657.68,1605.84
4,262,1681.28,1435.34
7,1126,1103.75,2014.72
5,781,672.91,1125.36
5,831,591.65,1090.31
7,1089,1026.25,2132.85
1,793,2171.07,1421.36
9,368,495.12,847.33
6,818,1130.38,1704.06
11,667,1915.95,1732.2
2,267,2116.93,1349.04
10,1083,2105.36,1844.58
13,529,1767.79,2015.18
9,1155,1346.4,2248.12
7,1185,1768.01,2072.18
5,763,1420.94,1777.14
7,368,1231.69,1550.04
6,659,322.1,972.58
14,1138,518.18,1696.86
6,172,1977.78,1603.89
6,628,311.47,903.3
2,500,1246.48,1264.53
8,7,2075.6,1422.12
5,942,2092.87,1696.72
12,81,2485.34,1589.65
4,166,791.52,866.18
3,213,1724.85,1344.71
11,1004,167.15,1175.65
5,116,478.1,624.04
13,112,2299.56,1807.67
1,43,2149.22,1134.47
2,660,1944.4,1531.2
10,888,298.68,1171.54
10,860,2380.76,1759.97
10,1187,1981.09,2013.21
12,1139,124.65,1314.3
5,966,359.51,927.98
10,796,1352.08,2000.19
9,72,1281.32,1515.54
10,215,2440.91,1638.66
7,671,1297.02,1703.2
5,230,333.69,538.36
5,467,1243.31,1549.82
13,247,2339.61,1705.9
14,777,1248.61,1837.25
11,740,1171.99,902.09
6,884,1798.31,1897.87
5,789,1853.31,1792.88
4,825,874.99,784.52
2,301,769.23,731.28
12,1007,1353.77,1925.32
5,865,644.79,1202.46
14,81,1251.97,1682.62
8,1159,2175.27,1752.18
11,496,373.98,1152.99
1,752,1632.35,1362.39
5,1014,1853.57,1749.31
9,686,145.66,972.95
5,654,1272.89,1724.68
8,621,2391.34,1593.12
9,1080,539.51,1306.91
10,714,269.06,1067.81
10,816,1425.64,1872.81
14,1122,1766.25,2239.35
4,1202,1074.87,1501.24
5,651,1573.3,1682.08
14,1100,237.69,1265.57
14,296,485.68,924.9
1,697,2148.5,1421.07
6,1044,47.46,1133.45
12,398,2481.44,1755.18
3,139,2428.89,1345.66
6,84,852.7,1109.32
2,423,1639.17,1367.64
11,815,2385.6,1872.44
6,577,897.74,1257.31
8,200,1508.89,1461.33
9,1102,540.6,1455.85
12,508,1970.54,1770.91
13,1024,1712.85,2097.69
7,1161,1499.97,1862.45
2,730,285.24,624.78
13,996,1809.2,1956.89
5,1160,1901.83,1673.89
2,1139,306.43,726.14
14,191,2442.76,1798.47
7,776,2447.82,1826.93
14,414,1919.7,1918.89
7,847,1994.62,1851.7
6,924,1227.21,1871.76
2,933,1589.58,1489.99
1,211,958.08,891.9
10,773,865.92,1837.11
3,196,1211.68,1229.87
14,49,954.02,1480.87
5,477,655.24,935.38
5,828,1606.84,1690.82
11,458,1364.29,1649.04
3,289,1245.67,1279.31
1,1060,501.67,658.14
5,1085,2486.43,1664.83
4,675,381.48,779.68
8,415,1214.97,1473.75
6,425,709.75,1114.9
7,313,2408.02,1637.65
13,235,426.07,897.26
7,635,1406.31,1630.66
10,1009,2164.22,1889.87
3,692,450.7,748.57
2,91,1073.76,1013.78
8,1187,1045.91,2047.06
14,600,1120.05,1847.84
5,210,710.49,483.34
12,10,1203.1,1564.9
1,452,275.05,282.89
4,256,2218.74,1476.03
8,312,2383.17,1557.27
2,1175,816.2,1237.62
11,960,383.64,1248.46
6,690,1009.37,1559.83
14,487,579.29,1516.68
8,75,315.71,593.83
13,360,271.93,1017.64
11,708,1871.77,1916.37
3,182,347.82,384.77
10,683,2442.92,1643.68
5,392,1264.6,1465.72
10,175,1443.25,1635.5
7,577,1959.13,1603.6
13,799,951.92,1793.36
13,608,370.89,1170.54
7,194,202.49,686.23
13,889,232.72,1394.38
7,901,136.8,1222.6
1,698,1525.82,1398.75
9,592,793.55,1235.69
14,1015,871.76,1846.41
9,524,136.46,848.89
5,781,2114.27,1789.85
3,200,58.24,494.63
5,503,2335.55,1649.42
11,667,2221.67,1872.89
7,336,1843.58,1691.68
4,217,1506.46,1455.37
8,207,1146.93,1479.01
7,690,1807.71,1710.98
2,251,1916.43,1285.2
4,627,956.98,1337.63
1,432,581.71,448.34
4,1194,2250.51,1691.15
10,64,455.9,774.64
8,15,377.85,657.8
11,741,1207.39,1878.06
8,638,1007.48,1483.06
12,965,1700.28,1879.09
8,1182,990.07,1840.75
13,1062,869.28,2090.54
1,754,1220.47,1346.14
14,767,186.47,1292.77
11,775,1752.23,1809.29
8,592,1402.98,1561.41
6,957,727.75,1448.72
9,800,2167.72,1726.51
6,1198,222.6,1107.96
3,1092,1737.65,1462.01
12,958,2499.84,1791.69
11,955,1282.19,2000.42
11,605,1880.69,1711.55
7,670,1558.02,1702.81
11,844,1962.77,1787.57
3,718,1158.02,1416.98
6,323,1477.23,1608.55
14,616,2374.41,1828.37
8,752,1519.78,1662.92
1,1166,1423.69,1412.13
3,1187,1632.14,1451.85
3,1013,166.52,711.07
5,741,429.24,951.92
14,467,2176.26,1809.83
3,224,358.77,406.36
3,712,512.23,751.16
12,218,901.03,1371.86
6,373,587.38,956.61
8,562,2479.33,1478.31
5,132,2387.03,1454.05
3,98,871.46,866.05
14,545,1206.76,1977.89
1,869,1498.88,1398.94
2,875,393.25,640.56
8,888,2296.07,1718.71
1,716,1396.41,1376.59
8,1025,1031.33,2214.64
9,1064,2016.76,1810.94
4,463,1963.41,1607.34
1,678,1478.57,1370.31
1,436,1358.14,1154.03
5,586,2135.36,1661.61
1,797,126.8,543.18
14,481,939.99,877.17
7,172,1486.86,1557.94
10,1192,23.47,1157.87
7,981,658.85,1351.69
10,692,1671.71,1701.23
13,710,2223.86,1979.83
12,380,1526.79,1787.41
3,133,1728.5,1373.4
4,730,799.25,1250.66
12,1070,1055.51,2030.76
8,1185,554.98,1545.67
11,456,2223.72,1600.1
12,85,1056.43,1466.31
2,543,103.37,544.12
6,367,1947.68,1606.76
1,481,1792.17,1215.84
5,233,1862.04,1562.23
1,45,1070.22,922.69
5,152,2444.81,1523.75
7,344,1242.05,1514.4
5,320,1584.55,1584.73
9,989,378.12,1193.72
10,57,936.89,1237.07
12,342,2253.61,1659.5
2,983,2109.93,1519.98
10,886,1990.03,1749.93
10,5,836.86,1116.56
3,80,517.54,457.49
8,482,1411.49,631.81
4,11,312.01,426.22
12,1075,2328.11,1798.38
13,632,268.91,1396.28
8,323,46.48,703.45
11,527,1550.32,1806.06
5,948,898.6,1499.68
5,504,1502.63,1628.66
10,793,1422.29,2007.62
13,32,232.43,805.12
9,768,1815.6,1666.18
9,994,1742.62,1849.58
1,1105,1432.3,1387.17
12,178,507.59,907.19
10,472,431.95,924.65
5,716,1111.23,1492.08
3,771,725.67,1166.93
13,1054,1131.25,2162.03
10,872,2191.27,1776.62
12,1077,32.55,1387.43
12,211,749.56,1285.23
4,199,1310.01,1400.57
2,1029,1702.6,1577.55
10,643,2263.77,1685.92
10,797,1706.73,1724.42
12,657,322.5,1113.16
8,177,486.06,751.58
2,222,456.24,437.4
3,555,2342.76,1458.63
2,785,1964.63,1522.76
5,104,281.67,464.68
1,673,2026.16,1372.83
10,877,1711.12,1897.37
1,250,1300.17,1145.33
1,467,296.49,221.23
10,1026,828.82,1865.67
11,1106,2250.54,2050.62
12,452,816.56,1243.1
14,865,2497.16,1885.87
8,107,2450.89,1468.19
8,80,1092.18,1365.73
8,945,766.98,1625.53
13,1140,1607.8,2214.64
2,636,1438.19,1435.96
14,865,1422.11,1921.18
12,482,1710.47,1746.74
2,68,756.61,648.53
14,512,526.84,1306.64
14,1001,1647.24,2080
1,547,573.6,616.27
10,5,1338.9,1610.25
3,1158,1107.4,1361.3
1,993,1143.58,1328.85
6,378,837.63,1215.96
11,1156,2231.86,1988.56
5,1050,882.86,1430.04
8,836,735.52,1606.63
11,654,1516.42,1870.43
8,633,1308.36,1639.12
12,713,1642.01,1873.19
5,96,1105.47,1312.16
7,1054,576.47,1344.18
12,495,1948.13,1831.92
1,1068,2011.28,1421.45
7,1000,1620.46,1971.23
13,855,1798.75,1951.77
8,544,1279.51,1483.77
11,816,544.99,1077.12
5,1080,2383.82,1664.76
8,1124,1908.69,1833.27
3,29,1632.85,1269.1
6,470,2235.72,1628.6
7,287,2293.5,1558.09
4,72,1367.29,1302.97
6,344,233.31,800.18
8,801,1241.21,1780.65
5,629,484.34,1029.87
11,327,961.08,1356.46
14,94,105.94,1180.63
4,1113,2103.82,1695.08
14,267,2090.21,1968.4
1,979,1292.54,1313.53
10,625,519.94,1229.41
14,457,848.61,1492.64
11,398,723.39,1154.77
14,68,438.96,866.76
3,769,2497.93,1587.8
13,694,1054.31,1815.02
12,1088,1977.91,1883.21
9,101,950.23,1281.64
1,170,2452.85,1209.08
12,1135,475.95,1447.39
3,1109,2092.26,1436.66
7,753,358.13,1084.79
2,521,467.19,667.85
12,1003,983.23,1996.18
3,269,708.05,799.12
14,646,2418.19,1931.21
14,1153,346.58,1292.93
4,18,289.06,380.88
13,1167,1074.36,2197.33
1,1113,1536,1403.6
6,930,1907.95,1788.75
5,714,617.72,1164.2
7,256,2180.53,1548.87
9,1063,2497.79,1761.94
11,512,2016.19,1710.53
9,463,1024.53,1476.48
12,714,2003.23,1829.06
9,1165,1868.79,1945.95
1,872,2420.07,1456.34
10,631,1220.71,1730.86
9,633,888.17,1384.78
4,1065,119.34,781.82
12,947,193.05,1225.63
4,159,568.58,647
1,292,449.83,363.02
1,1115,926.13,1192.88
7,1168,667.94,1639.55
4,348,2047.08,1507.04
8,77,1930.98,1485.69
7,1033,1013.03,2119.83
4,672,1603.52,1612.43
4,1191,999.45,1478.93
8,392,661.27,978.13
7,951,584.4,1253.76
5,778,2423.47,1643.96
11,958,1999.13,1900.18
3,186,1068.31,1152.04
5,1116,2460.46,1711.97
13,63,107.92,710.25
6,170,476.99,600.23
3,870,413.23,795.8
12,852,1957.9,1944.89
6,420,386.77,929.16
6,668,1922.45,1796.98
8,795,1645.99,644.69
4,420,927.74,1238.04
12,1074,2407.71,1843.97
12,916,2394.85,1740.85
4,1075,586.17,1023.65
5,1143,1217.72,1745.09
2,719,591.44,755.3
4,197,1858.84,1416.33
6,248,395.4,710.15
10,834,1820.8,1883.49
1,1112,2011.44,1423.85
12,1189,1453.16,2162.13
14,269,1349.61,1832.34
7,671,1262.85,1600.42
9,52,350.58,601.81
14,976,1526.58,1995.87
2,370,1554.5,1311.23
4,1180,1948.55,1565.16
5,36,2022.94,1410.58
5,691,1030.64,1465.26
8,52,2353.5,1485.05
11,24,2029.04,1569.37
8,221,936.98,1287
1,85,89.83,175.53
7,803,12.75,1146.78
12,893,910.41,1862.13
14,113,1091.13,1703.02
5,516,1878.49,669.85
14,904,2005.96,1970.01
1,1058,1601.04,1465.9
14,555,313.73,1201.26
7,738,730.28,1429.72
8,792,2437.24,1556.7
5,831,432.8,901.36
7,709,320.8,1116.62
9,1078,161.85,1260.96
2,616,968.93,1163.1
2,570,2297.12,1423.86
9,13,986.41,1271.52
7,381,2106.96,1705.27
9,460,2424.47,1624.68
4,425,1286.54,1449.26
11,437,1053.24,1630.47
9,1000,1901.79,1778.65
1,553,1687.11,1295.34
10,5,1094.06,1361.08
12,931,864.21,1663.58
6,436,914.53,1389.11
3,1074,247.32,636.02
9,896,1398.54,1727.1
1,462,2047.57,1202.9
3,665,2418.16,1490.96
11,532,2419.86,1653.69
9,483,52.64,949.04
12,296,326.83,981.72
9,131,1990,1557.2
6,836,2035.17,1718.79
10,532,1223.36,1631.49
14,595,2140.61,1989.13
7,623,1894.02,1739.49
5,1077,2234.35,1665.23
5,579,1018.52,1468.01
8,255,1817.19,1510.91
8,1009,1378.07,1903.76
10,87,498.96,781.97
1,809,1734.56,1447.25
9,1079,1981.94,1763.16
8,1134,1049.84,2073.13
8,403,654.97,895.14
8,534,429.88,916.02
13,564,2245.56,1745.09
2,752,958.29,1144.41
11,293,1410,1673.7
5,919,470.23,1119.17
5,103,333.22,573.58
1,893,19.76,570.71
12,37,52.65,789.01
8,1142,776.74,1827.44
5,332,218.03,801.73
7,950,1739.62,2032.23
9,223,1916.03,1623.73
6,522,1210.87,1577.01
12,46,2077.07,1666.29
2,252,1545.94,1300.19
14,999,619.42,1510.57
13,125,2004.61,1721.56
9,597,625.99,990.84
3,289,853.79,969.85
7,953,1918.24,1833.56
4,275,2359.64,1483.58
5,755,1584.41,1729.08
9,803,880.17,1589.75
11,293,285.14,966.87
6,164,1460.21,1535.3
12,675,2277.93,1807.33
11,859,146.71,1267.98
2,296,1878.7,1354
7,300,2417.85,1634.04
2,1155,1517.18,1543.17
5,765,480.48,1038.42
9,1097,2330.2,1728.07
4,422,2049.71,1491.9
14,1020,510.33,1406.95
4,205,545.57,682.22
12,1046,1850.85,1875.72
4,1001,739.08,1116.31
9,938,742.17,1632.1
5,351,407.74,883.11
9,748,653.42,1249.66
13,1186,2462.26,1906.35
6,384,1656.04,1682.33
10,150,418.41,844.9
10,783,158.93,993.55
6,372,2494.69,1742.34
10,958,1643.76,1827.18
8,34,1225.2,1438.52
7,151,2461.93,1516.58
7,150,1379.35,1500.09
6,751,2085.98,1757.81
7,568,159.12,738.92
12,574,2240.9,1785.72
13,36,808.38,1190.16
14,595,1818.77,1889.9
7,381,2342.27,1705.24
14,174,815.3,1295.14
11,226,2013.45,1590.82
13,137,1505.66,1777.72
13,774,206.45,1110
5,1120,1514.91,1658.97
4,862,2335.55,1698.94
8,829,1147.89,2004.34
4,380,446.66,764.24
9,238,1197.83,1560.78
13,1199,493,1634.13
12,710,1249.41,1921.09
14,719,1973.14,1980.99
1,482,1697.08,1198.24
9,444,725.31,1062.52
11,610,1990.79,1753.56
4,238,1707.28,1483.48
2,299,1612.7,1282.8
10,273,799.9,1155.05
3,154,274.04,406.91
7,636,697.02,1276.06
2,1038,685.07,962.14
2,798,2334.41,1485.4
12,601,2166.56,1918.46
6,290,814.04,1077.35
8,16,259.02,543.56
8,303,1072.44,1453.25
11,372,2048.26,1632.61
3,864,2338.52,1513.04
11,913,2253.41,1758.56
14,805,834.06,1683.49
5,905,2317.31,1691.38
10,728,226.53,1060.47
4,842,893.25,1324.64
5,117,953.06,1116.8
12,307,957.17,1432.75
9,51,314.81,704.94
7,1071,841.11,1699.9
13,922,1510.22,1967.87
8,867,2373.39,1747.22
11,1013,1483.3,1952.8
6,1148,1525.81,1776.48
12,158,2195.67,1625.46
5,1010,2054.21,1810.37
1,682,1517.04,1376.04
5,14,78.33,406.7
6,1203,1900.48,1972.88
4,810,1852.31,1575.87
3,760,2073.25,1522.45
7,868,625.09,1403.48
7,205,103.31,683.1
5,387,1882.35,1588.8
11,447,130.07,852.02
9,482,1348.44,1633.26
7,15,2436.67,1459.63
10,955,1182.33,1950.3
5,41,2314.68,1500.28
2,1189,1164.74,1666.52
2,762,519.74,752.69
10,895,937.46,1714.8
13,858,2258.01,1889.71
11,650,524.8,1179.09
4,198,2106.63,1450.67
1,791,1927.75,1419.88
14,1020,1201.75,2337.73
12,59,2247.39,1629.92
8,626,545.84,1142.89
5,57,559.05,639.73
5,908,716.7,1375.88
13,8,78.44,713.71
11,684,672.51,1487.93
4,180,2365.46,1443.02
13,511,1628.33,1915.79
4,231,20.39,499.26
9,1139,1973.31,1759.33
9,578,1167.71,1587.21
14,530,2028.06,2079.14
7,316,141.89,837.8
2,897,2382.39,1437.95
12,121,608.92,1033.44
4,764,1417.94,1682.1
11,663,2141.08,1715.29
3,91,1640.15,1338.3
1,1035,1289.84,1317.33
7,125,193.62,616.24
12,437,639.96,1183.74
4,84,2243.12,1392.1
5,716,1316.6,1686.98
12,18,2461.37,1556.78
3,560,1664.15,1419.48
3,504,63.39,568.17
5,1126,664.9,1336.74
1,1092,390.55,589.11
11,273,502.37,862.61
4,6,458.7,459.21
1,620,490.45,678.74
5,659,2083.15,1645.06
12,353,2150.17,1765.67
13,618,1982.27,2000.39
2,1158,2355.92,1528.91
3,512,1251.6,1360.76
5,840,941.55,1676.48
7,1086,2319.81,1858.36
13,1152,864.45,1797.14
4,840,1375.42,1580.95
4,724,89.99,667.98
3,327,2141.92,1438.41
13,1055,2005.84,1997.52
1,931,327.97,609.73
10,108,2181.67,1632.42
13,1204,24.47,1344.17
5,517,919.25,1288.31
8,897,1536.36,1944.62
12,988,2492.79,1753.84
1,1041,1630.25,1466.95
10,454,2359.42,1619
5,406,1084.16,1399.39
4,103,1790.07,1394.55
11,198,269.95,695.66
4,477,18.97,631.5
11,67,2455.53,1572.91
7,789,185.73,966.26
13,70,993.7,1492.02
12,59,858.62,1377.35
3,1027,180,804.96
3,275,543.74,572.73
12,180,384.42,873.97
3,334,2449.89,1472.53
7,759,1694.02,1960.92
10,174,1991.96,1542.4
1,780,366.37,516.69
9,934,415.5,1208.82
8,936,556.28,1277.26
1,1002,2320.13,1475.4
7,83,137.84,482.65
9,191,789.52,1058.5
3,280,1090.37,1256.92
5,644,2383.17,1785.53
10,498,992.86,1395.03
4,317,1793.28,1518.93
4,1100,370.61,860.32
4,263,2469.06,1503.98
4,932,1287.34,1513.28
14,343,2013.4,1839.05
2,274,888.24,917.79
1,759,330.29,500.92
8,204,2178.45,1506.38
10,396,2068.65,1556.68
6,840,870.82,1496.46
7,756,1473.59,1961.96
4,1048,279.75,780.15
9,800,39.96,1158.68
3,240,1895.67,1386.33
13,997,920.48,2124.16
2,826,2163.39,1523.26
6,194,914.25,1168.72
4,333,1934.76,1467.52
8,1053,1864.01,1794.57
12,466,1291.33,1770.37
8,916,2417.62,1755.05
11,322,1251.3,1732.46
13,11,1114.96,1555.48
7,250,364.79,718.71
5,247,296.51,594.93
14,1158,2104.61,1899.69
11,1095,1071.83,2159.33
11,1149,270.81,1284.51
9,14,1057.38,1372.31
4,184,983.77,1202.69
6,135,2488.22,1561.2
5,717,1508.97,1722.49
1,389,1964.96,1228.94
3,1136,1296.54,1536.6
13,145,2202.42,1716.13
1,1122,861.5,1081.05
14,383,97.95,1203.93
1,309,1211.37,1110.55
14,1090,2248.68,1905.5
3,278,994.9,1167.78
7,1109,2397.29,1917.57
12,643,2194.16,1758.03
11,176,1050.67,1444.13
7,309,1021.75,1309.85
3,992,1897.41,1539
3,175,440.19,431.17
5,895,2329.69,1791.96
8,372,348.37,950.24
5,567,193.11,718.3
8,978,710.43,1624.58
1,1082,1809.49,446.94
11,636,2238.97,1699.94
6,370,315.09,946.39
8,413,222.83,802.95
3,399,141.39,546.04

