Days,Miles,Receipts,Reimb,R-R,
6,471,332.51,872.19,539.68,
2,941,1565.77,1432.79,-132.98,
10,377,301.96,837.36,535.4,
7,273,285.83,793.58,507.75,
1,458,834.7,737.28,-97.42,
11,772,932.31,1575.52,643.21,
11,36,1541.47,1593.24,51.77,
12,211,1048.29,1579.73,531.44,
7,987,2164.1,1839.67,-324.43,
9,662,2275.59,1599.27,-676.32,
12,96,1164.37,1553.21,388.84,
5,569,1856.7,1623.81,-232.89,
12,128,477.17,874.99,397.82,
4,886,2401.28,1698,-703.28,
13,19,807.27,1331.53,524.26,
8,275,2347.09,1454.47,-892.62,
9,963,588.5,1434.42,845.92,
14,1056,2489.69,1894.16,-595.53,
5,728,423.16,947.72,524.56,
4,286,1063.49,418.17,-645.32,
11,332,1352.48,1663.39,310.91,
12,49,1118.38,1494.81,376.43,
2,18,2503.46,1206.95,-1296.51,
14,592,1268.36,1930.24,661.88,
3,892,171.32,875.39,704.07,
11,741,1872.39,1847.08,-25.31,
14,807,2358.41,1819.41,-539,
5,873,1584.53,1796.7,212.17,
3,1159,2209.44,1434.84,-774.6,
11,920,1338.65,1871.27,532.62,
1,388,390.7,332.06,-58.64,
9,576,1059.79,1547.5,487.71,
9,524,2367.12,1640.78,-726.34,
10,459,2183.11,1559.59,-623.52,
4,725,588.9,1097.95,509.05,
1,992,958.87,1222.41,263.54,
10,536,2194.42,1615.13,-579.29,
11,1126,1593.03,2143.74,550.71,
10,314,1098.8,1539.1,440.3,
1,9,2246.28,1120.22,-1126.06,
11,706,1508.23,2030.59,522.36,
10,976,2166.02,1775.03,-390.99,
5,1028,653.19,1313.95,660.76,
8,1166,99.47,1149.07,1049.6,
12,882,1958.14,1944.88,-13.26,
11,448,732.79,1090.35,357.56,
7,623,1691.39,1800.86,109.47,
3,127,293.49,303.2,9.71,
12,218,486.02,1005.67,519.65,
3,1166,530.44,785.59,255.15,
11,17,550.58,830.07,279.49,
9,696,1749.97,1649.49,-100.48,
4,305,125.79,664.43,538.64,
12,104,1300.05,1779.92,479.87,
1,303,931.53,857.42,-74.11,
8,1012,2390.84,1732.12,-658.72,
9,938,2224.29,1913.87,-310.42,
3,471,288.19,535.67,247.48,
5,72,977.67,1156.55,178.88,
10,160,2272.56,1642.15,-630.41,
10,965,1851.28,1805.77,-45.51,
3,266,2178.16,1447.95,-730.21,
12,734,2491.82,1792.31,-699.51,
12,64,1641.01,1710.72,69.71,
9,497,1845.08,1674.09,-170.99,
3,781,1801.38,1586.21,-215.17,
3,158,1070.74,1183.16,112.42,
3,1096,200.27,802.96,602.69,
11,1116,2067.8,1987.44,-80.36,
10,831,39.86,982.64,942.78,
14,124,1064.64,1761.68,697.04,
4,10,1262.73,1261.41,-1.32,
5,955,106.86,897.78,790.92,
7,1176,2489.13,1921.16,-567.97,
6,803,465.6,1012,546.4,
9,868,62.12,1022.81,960.69,
1,181,128.05,225.12,97.07,
3,70,631.88,564.16,-67.72,
8,1090,419.76,1189.47,769.71,
14,1184,2269.89,1943.24,-326.65,
1,735,1676.9,1365.21,-311.69,
2,547,119.09,509.52,390.43,
11,265,218.66,949.34,730.68,
10,223,886.32,1305.54,419.22,
12,959,1947.82,1833.24,-114.58,
11,498,1578.39,1793.52,215.13,
14,127,988.4,1688.9,700.5,
3,621,214.08,779.66,565.58,
6,1193,2241.5,1839.47,-402.03,
4,448,2055.97,1497.46,-558.51,
8,466,2064.63,1558.12,-506.51,
12,229,1216.16,1696.65,480.49,
13,658,559.48,1573.12,1013.64,
13,1034,2477.98,1842.24,-635.74,
4,842,2464.29,1611.66,-852.63,
13,837,1218.93,1921.68,702.75,
11,927,1306.37,1804.68,498.31,
4,1047,1657.68,1605.84,-51.84,
4,262,1681.28,1435.34,-245.94,
7,1126,1103.75,2014.72,910.97,
5,781,672.91,1125.36,452.45,
5,831,591.65,1090.31,498.66,
7,1089,1026.25,2132.85,1106.6,
1,793,2171.07,1421.36,-749.71,
9,368,495.12,847.33,352.21,
6,818,1130.38,1704.06,573.68,
11,667,1915.95,1732.2,-183.75,
2,267,2116.93,1349.04,-767.89,
10,1083,2105.36,1844.58,-260.78,
13,529,1767.79,2015.18,247.39,
9,1155,1346.4,2248.12,901.72,
7,1185,1768.01,2072.18,304.17,
5,763,1420.94,1777.14,356.2,
7,368,1231.69,1550.04,318.35,
6,659,322.1,972.58,650.48,
14,1138,518.18,1696.86,1178.68,
6,172,1977.78,1603.89,-373.89,
6,628,311.47,903.3,591.83,
2,500,1246.48,1264.53,18.05,
8,7,2075.6,1422.12,-653.48,
5,942,2092.87,1696.72,-396.15,
12,81,2485.34,1589.65,-895.69,
4,166,791.52,866.18,74.66,
3,213,1724.85,1344.71,-380.14,
11,1004,167.15,1175.65,1008.5,
5,116,478.1,624.04,145.94,
13,112,2299.56,1807.67,-491.89,
1,43,2149.22,1134.47,-1014.75,
2,660,1944.4,1531.2,-413.2,
10,888,298.68,1171.54,872.86,
10,860,2380.76,1759.97,-620.79,
10,1187,1981.09,2013.21,32.12,
12,1139,124.65,1314.3,1189.65,
5,966,359.51,927.98,568.47,
10,796,1352.08,2000.19,648.11,
9,72,1281.32,1515.54,234.22,
10,215,2440.91,1638.66,-802.25,
7,671,1297.02,1703.2,406.18,
5,230,333.69,538.36,204.67,
5,467,1243.31,1549.82,306.51,
13,247,2339.61,1705.9,-633.71,
14,777,1248.61,1837.25,588.64,
11,740,1171.99,902.09,-269.9,
6,884,1798.31,1897.87,99.56,
5,789,1853.31,1792.88,-60.43,
4,825,874.99,784.52,-90.47,
2,301,769.23,731.28,-37.95,
12,1007,1353.77,1925.32,571.55,
5,865,644.79,1202.46,557.67,
14,81,1251.97,1682.62,430.65,
8,1159,2175.27,1752.18,-423.09,
11,496,373.98,1152.99,779.01,
1,752,1632.35,1362.39,-269.96,
5,1014,1853.57,1749.31,-104.26,
9,686,145.66,972.95,827.29,
5,654,1272.89,1724.68,451.79,
8,621,2391.34,1593.12,-798.22,
9,1080,539.51,1306.91,767.4,
10,714,269.06,1067.81,798.75,
10,816,1425.64,1872.81,447.17,
14,1122,1766.25,2239.35,473.1,
4,1202,1074.87,1501.24,426.37,
5,651,1573.3,1682.08,108.78,
14,1100,237.69,1265.57,1027.88,
14,296,485.68,924.9,439.22,
1,697,2148.5,1421.07,-727.43,
6,1044,47.46,1133.45,1085.99,
12,398,2481.44,1755.18,-726.26,
3,139,2428.89,1345.66,-1083.23,
6,84,852.7,1109.32,256.62,
2,423,1639.17,1367.64,-271.53,
11,815,2385.6,1872.44,-513.16,
6,577,897.74,1257.31,359.57,
8,200,1508.89,1461.33,-47.56,
9,1102,540.6,1455.85,915.25,
12,508,1970.54,1770.91,-199.63,
13,1024,1712.85,2097.69,384.84,
7,1161,1499.97,1862.45,362.48,
2,730,285.24,624.78,339.54,
13,996,1809.2,1956.89,147.69,
5,1160,1901.83,1673.89,-227.94,
2,1139,306.43,726.14,419.71,
14,191,2442.76,1798.47,-644.29,
7,776,2447.82,1826.93,-620.89,
14,414,1919.7,1918.89,-0.81,
7,847,1994.62,1851.7,-142.92,
6,924,1227.21,1871.76,644.55,
2,933,1589.58,1489.99,-99.59,
1,211,958.08,891.9,-66.18,
10,773,865.92,1837.11,971.19,
3,196,1211.68,1229.87,18.19,
14,49,954.02,1480.87,526.85,
5,477,655.24,935.38,280.14,
5,828,1606.84,1690.82,83.98,
11,458,1364.29,1649.04,284.75,
3,289,1245.67,1279.31,33.64,
1,1060,501.67,658.14,156.47,
5,1085,2486.43,1664.83,-821.6,
4,675,381.48,779.68,398.2,
8,415,1214.97,1473.75,258.78,
6,425,709.75,1114.9,405.15,
7,313,2408.02,1637.65,-770.37,
13,235,426.07,897.26,471.19,
7,635,1406.31,1630.66,224.35,
10,1009,2164.22,1889.87,-274.35,
3,692,450.7,748.57,297.87,
2,91,1073.76,1013.78,-59.98,
8,1187,1045.91,2047.06,1001.15,
14,600,1120.05,1847.84,727.79,
5,210,710.49,483.34,-227.15,
12,10,1203.1,1564.9,361.8,
1,452,275.05,282.89,7.84,
4,256,2218.74,1476.03,-742.71,
8,312,2383.17,1557.27,-825.9,
2,1175,816.2,1237.62,421.42,
11,960,383.64,1248.46,864.82,
6,690,1009.37,1559.83,550.46,
14,487,579.29,1516.68,937.39,
8,75,315.71,593.83,278.12,
13,360,271.93,1017.64,745.71,
11,708,1871.77,1916.37,44.6,
3,182,347.82,384.77,36.95,
10,683,2442.92,1643.68,-799.24,
5,392,1264.6,1465.72,201.12,
10,175,1443.25,1635.5,192.25,
7,577,1959.13,1603.6,-355.53,
13,799,951.92,1793.36,841.44,
13,608,370.89,1170.54,799.65,
7,194,202.49,686.23,483.74,
13,889,232.72,1394.38,1161.66,
7,901,136.8,1222.6,1085.8,
1,698,1525.82,1398.75,-127.07,
9,592,793.55,1235.69,442.14,
14,1015,871.76,1846.41,974.65,
9,524,136.46,848.89,712.43,
5,781,2114.27,1789.85,-324.42,
3,200,58.24,494.63,436.39,
5,503,2335.55,1649.42,-686.13,
11,667,2221.67,1872.89,-348.78,
7,336,1843.58,1691.68,-151.9,
4,217,1506.46,1455.37,-51.09,
8,207,1146.93,1479.01,332.08,
7,690,1807.71,1710.98,-96.73,
2,251,1916.43,1285.2,-631.23,
4,627,956.98,1337.63,380.65,
1,432,581.71,448.34,-133.37,
4,1194,2250.51,1691.15,-559.36,
10,64,455.9,774.64,318.74,
8,15,377.85,657.8,279.95,
11,741,1207.39,1878.06,670.67,
8,638,1007.48,1483.06,475.58,
12,965,1700.28,1879.09,178.81,
8,1182,990.07,1840.75,850.68,
13,1062,869.28,2090.54,1221.26,
1,754,1220.47,1346.14,125.67,
14,767,186.47,1292.77,1106.3,
11,775,1752.23,1809.29,57.06,
8,592,1402.98,1561.41,158.43,
6,957,727.75,1448.72,720.97,
9,800,2167.72,1726.51,-441.21,
6,1198,222.6,1107.96,885.36,
3,1092,1737.65,1462.01,-275.64,
12,958,2499.84,1791.69,-708.15,
11,955,1282.19,2000.42,718.23,
11,605,1880.69,1711.55,-169.14,
7,670,1558.02,1702.81,144.79,
11,844,1962.77,1787.57,-175.2,
3,718,1158.02,1416.98,258.96,
6,323,1477.23,1608.55,131.32,
14,616,2374.41,1828.37,-546.04,
8,752,1519.78,1662.92,143.14,
1,1166,1423.69,1412.13,-11.56,
3,1187,1632.14,1451.85,-180.29,
3,1013,166.52,711.07,544.55,
5,741,429.24,951.92,522.68,
14,467,2176.26,1809.83,-366.43,
3,224,358.77,406.36,47.59,
3,712,512.23,751.16,238.93,
12,218,901.03,1371.86,470.83,
6,373,587.38,956.61,369.23,
8,562,2479.33,1478.31,-1001.02,
5,132,2387.03,1454.05,-932.98,
3,98,871.46,866.05,-5.41,
14,545,1206.76,1977.89,771.13,
1,869,1498.88,1398.94,-99.94,
2,875,393.25,640.56,247.31,
8,888,2296.07,1718.71,-577.36,
1,716,1396.41,1376.59,-19.82,
8,1025,1031.33,2214.64,1183.31,
9,1064,2016.76,1810.94,-205.82,
4,463,1963.41,1607.34,-356.07,
1,678,1478.57,1370.31,-108.26,
1,436,1358.14,1154.03,-204.11,
5,586,2135.36,1661.61,-473.75,
1,797,126.8,543.18,416.38,
14,481,939.99,877.17,-62.82,
7,172,1486.86,1557.94,71.08,
10,1192,23.47,1157.87,1134.4,
7,981,658.85,1351.69,692.84,
10,692,1671.71,1701.23,29.52,
13,710,2223.86,1979.83,-244.03,
12,380,1526.79,1787.41,260.62,
3,133,1728.5,1373.4,-355.1,
4,730,799.25,1250.66,451.41,
12,1070,1055.51,2030.76,975.25,
8,1185,554.98,1545.67,990.69,
11,456,2223.72,1600.1,-623.62,
12,85,1056.43,1466.31,409.88,
2,543,103.37,544.12,440.75,
6,367,1947.68,1606.76,-340.92,
1,481,1792.17,1215.84,-576.33,
5,233,1862.04,1562.23,-299.81,
1,45,1070.22,922.69,-147.53,
5,152,2444.81,1523.75,-921.06,
7,344,1242.05,1514.4,272.35,
5,320,1584.55,1584.73,0.18,
9,989,378.12,1193.72,815.6,
10,57,936.89,1237.07,300.18,
12,342,2253.61,1659.5,-594.11,
2,983,2109.93,1519.98,-589.95,
10,886,1990.03,1749.93,-240.1,
10,5,836.86,1116.56,279.7,
3,80,517.54,457.49,-60.05,
8,482,1411.49,631.81,-779.68,
4,11,312.01,426.22,114.21,
12,1075,2328.11,1798.38,-529.73,
13,632,268.91,1396.28,1127.37,
8,323,46.48,703.45,656.97,
11,527,1550.32,1806.06,255.74,
5,948,898.6,1499.68,601.08,
5,504,1502.63,1628.66,126.03,
10,793,1422.29,2007.62,585.33,
13,32,232.43,805.12,572.69,
9,768,1815.6,1666.18,-149.42,
9,994,1742.62,1849.58,106.96,
1,1105,1432.3,1387.17,-45.13,
12,178,507.59,907.19,399.6,
10,472,431.95,924.65,492.7,
5,716,1111.23,1492.08,380.85,
3,771,725.67,1166.93,441.26,
13,1054,1131.25,2162.03,1030.78,
10,872,2191.27,1776.62,-414.65,
12,1077,32.55,1387.43,1354.88,
12,211,749.56,1285.23,535.67,
4,199,1310.01,1400.57,90.56,
2,1029,1702.6,1577.55,-125.05,
10,643,2263.77,1685.92,-577.85,
10,797,1706.73,1724.42,17.69,
12,657,322.5,1113.16,790.66,
8,177,486.06,751.58,265.52,
2,222,456.24,437.4,-18.84,
3,555,2342.76,1458.63,-884.13,
2,785,1964.63,1522.76,-441.87,
5,104,281.67,464.68,183.01,
1,673,2026.16,1372.83,-653.33,
10,877,1711.12,1897.37,186.25,
1,250,1300.17,1145.33,-154.84,
1,467,296.49,221.23,-75.26,
10,1026,828.82,1865.67,1036.85,
11,1106,2250.54,2050.62,-199.92,
12,452,816.56,1243.1,426.54,
14,865,2497.16,1885.87,-611.29,
8,107,2450.89,1468.19,-982.7,
8,80,1092.18,1365.73,273.55,
8,945,766.98,1625.53,858.55,
13,1140,1607.8,2214.64,606.84,
2,636,1438.19,1435.96,-2.23,
14,865,1422.11,1921.18,499.07,
12,482,1710.47,1746.74,36.27,
2,68,756.61,648.53,-108.08,
14,512,526.84,1306.64,779.8,
14,1001,1647.24,2080,432.76,
1,547,573.6,616.27,42.67,
10,5,1338.9,1610.25,271.35,
3,1158,1107.4,1361.3,253.9,
1,993,1143.58,1328.85,185.27,
6,378,837.63,1215.96,378.33,
11,1156,2231.86,1988.56,-243.3,
5,1050,882.86,1430.04,547.18,
8,836,735.52,1606.63,871.11,
11,654,1516.42,1870.43,354.01,
8,633,1308.36,1639.12,330.76,
12,713,1642.01,1873.19,231.18,
5,96,1105.47,1312.16,206.69,
7,1054,576.47,1344.18,767.71,
12,495,1948.13,1831.92,-116.21,
1,1068,2011.28,1421.45,-589.83,
7,1000,1620.46,1971.23,350.77,
13,855,1798.75,1951.77,153.02,
8,544,1279.51,1483.77,204.26,
11,816,544.99,1077.12,532.13,
5,1080,2383.82,1664.76,-719.06,
8,1124,1908.69,1833.27,-75.42,
3,29,1632.85,1269.1,-363.75,
6,470,2235.72,1628.6,-607.12,
7,287,2293.5,1558.09,-735.41,
4,72,1367.29,1302.97,-64.32,
6,344,233.31,800.18,566.87,
8,801,1241.21,1780.65,539.44,
5,629,484.34,1029.87,545.53,
11,327,961.08,1356.46,395.38,
14,94,105.94,1180.63,1074.69,
4,1113,2103.82,1695.08,-408.74,
14,267,2090.21,1968.4,-121.81,
1,979,1292.54,1313.53,20.99,
10,625,519.94,1229.41,709.47,
14,457,848.61,1492.64,644.03,
11,398,723.39,1154.77,431.38,
14,68,438.96,866.76,427.8,
3,769,2497.93,1587.8,-910.13,
13,694,1054.31,1815.02,760.71,
12,1088,1977.91,1883.21,-94.7,
9,101,950.23,1281.64,331.41,
1,170,2452.85,1209.08,-1243.77,
12,1135,475.95,1447.39,971.44,
3,1109,2092.26,1436.66,-655.6,
7,753,358.13,1084.79,726.66,
2,521,467.19,667.85,200.66,
12,1003,983.23,1996.18,1012.95,
3,269,708.05,799.12,91.07,
14,646,2418.19,1931.21,-486.98,
14,1153,346.58,1292.93,946.35,
4,18,289.06,380.88,91.82,
13,1167,1074.36,2197.33,1122.97,
1,1113,1536,1403.6,-132.4,
6,930,1907.95,1788.75,-119.2,
5,714,617.72,1164.2,546.48,
7,256,2180.53,1548.87,-631.66,
9,1063,2497.79,1761.94,-735.85,
11,512,2016.19,1710.53,-305.66,
9,463,1024.53,1476.48,451.95,
12,714,2003.23,1829.06,-174.17,
9,1165,1868.79,1945.95,77.16,
1,872,2420.07,1456.34,-963.73,
10,631,1220.71,1730.86,510.15,
9,633,888.17,1384.78,496.61,
4,1065,119.34,781.82,662.48,
12,947,193.05,1225.63,1032.58,
4,159,568.58,647,78.42,
1,292,449.83,363.02,-86.81,
1,1115,926.13,1192.88,266.75,
7,1168,667.94,1639.55,971.61,
4,348,2047.08,1507.04,-540.04,
8,77,1930.98,1485.69,-445.29,
7,1033,1013.03,2119.83,1106.8,
4,672,1603.52,1612.43,8.91,
4,1191,999.45,1478.93,479.48,
8,392,661.27,978.13,316.86,
7,951,584.4,1253.76,669.36,
5,778,2423.47,1643.96,-779.51,
11,958,1999.13,1900.18,-98.95,
3,186,1068.31,1152.04,83.73,
5,1116,2460.46,1711.97,-748.49,
13,63,107.92,710.25,602.33,
6,170,476.99,600.23,123.24,
3,870,413.23,795.8,382.57,
12,852,1957.9,1944.89,-13.01,
6,420,386.77,929.16,542.39,
6,668,1922.45,1796.98,-125.47,
8,795,1645.99,644.69,-1001.3,
4,420,927.74,1238.04,310.3,
12,1074,2407.71,1843.97,-563.74,
12,916,2394.85,1740.85,-654,
4,1075,586.17,1023.65,437.48,
5,1143,1217.72,1745.09,527.37,
2,719,591.44,755.3,163.86,
4,197,1858.84,1416.33,-442.51,
6,248,395.4,710.15,314.75,
10,834,1820.8,1883.49,62.69,
1,1112,2011.44,1423.85,-587.59,
12,1189,1453.16,2162.13,708.97,
14,269,1349.61,1832.34,482.73,
7,671,1262.85,1600.42,337.57,
9,52,350.58,601.81,251.23,
14,976,1526.58,1995.87,469.29,
2,370,1554.5,1311.23,-243.27,
4,1180,1948.55,1565.16,-383.39,
5,36,2022.94,1410.58,-612.36,
5,691,1030.64,1465.26,434.62,
8,52,2353.5,1485.05,-868.45,
11,24,2029.04,1569.37,-459.67,
8,221,936.98,1287,350.02,
1,85,89.83,175.53,85.7,
7,803,12.75,1146.78,1134.03,
12,893,910.41,1862.13,951.72,
14,113,1091.13,1703.02,611.89,
5,516,1878.49,669.85,-1208.64,
14,904,2005.96,1970.01,-35.95,
1,1058,1601.04,1465.9,-135.14,
14,555,313.73,1201.26,887.53,
7,738,730.28,1429.72,699.44,
8,792,2437.24,1556.7,-880.54,
5,831,432.8,901.36,468.56,
7,709,320.8,1116.62,795.82,
9,1078,161.85,1260.96,1099.11,
2,616,968.93,1163.1,194.17,
2,570,2297.12,1423.86,-873.26,
9,13,986.41,1271.52,285.11,
7,381,2106.96,1705.27,-401.69,
9,460,2424.47,1624.68,-799.79,
4,425,1286.54,1449.26,162.72,
11,437,1053.24,1630.47,577.23,
9,1000,1901.79,1778.65,-123.14,
1,553,1687.11,1295.34,-391.77,
10,5,1094.06,1361.08,267.02,
12,931,864.21,1663.58,799.37,
6,436,914.53,1389.11,474.58,
3,1074,247.32,636.02,388.7,
9,896,1398.54,1727.1,328.56,
1,462,2047.57,1202.9,-844.67,
3,665,2418.16,1490.96,-927.2,
11,532,2419.86,1653.69,-766.17,
