Days,Miles,Receipts,
10,433.00,903.88,
11,175.00,1177.54,
10,646.00,430.63,
9,807.00,1917.21,
12,439.00,1231.15,
8,421.00,1964.50,
10,404.00,752.54,
8,946.00,969.17,
10,684.00,900.63,
10,766.00,107.29,
12,700.00,606.73,
12,940.00,1674.57,
11,554.00,1900.81,
11,1040.00,799.87,
8,155.00,1099.49,
9,685.00,724.93,
8,886.00,1644.78,
10,488.00,525.26,
11,422.00,2049.39,
8,155.00,218.69,
9,508.00,1150.51,
12,495.00,389.65,
11,117.00,1967.99,
8,718.00,314.27,
9,881.00,1912.66,
11,710.00,233.95,
8,669.00,1270.19,
11,528.00,1118.12,
10,183.00,1305.02,
10,640.00,493.27,
9,122.00,1372.11,
10,133.00,349.52,
8,614.00,1198.26,
12,150.00,1725.15,
11,819.00,1014.21,
9,949.00,1087.59,
11,866.00,2099.94,
9,429.00,1624.59,
12,804.00,998.65,
10,1084.00,336.27,
11,996.00,118.49,
10,906.00,1015.59,
9,277.00,1821.25,
11,829.00,1652.34,
9,632.00,475.09,
8,322.00,1293.11,
8,544.00,276.63,
11,649.00,858.75,
10,671.00,567.83,
8,292.00,1894.94,
11,466.00,1717.49,
12,669.00,1308.88,
11,1035.00,222.42,
8,512.00,1984.46,
12,402.00,1759.03,
12,715.00,977.71,
8,1044.00,457.43,
12,667.00,723.21,
10,921.00,1445.95,
10,594.00,1129.84,
11,597.00,1379.55,
8,513.00,1152.90,
8,1026.00,166.27,
8,683.00,114.33,
10,235.00,597.87,
12,645.00,1395.76,
8,776.00,735.33,
8,687.00,1050.25,
11,361.00,323.83,
9,1024.00,1378.79,
8,874.00,426.01,
10,895.00,707.11,
10,1021.00,1557.60,
8,511.00,1439.85,
10,953.00,970.16,
9,984.00,1913.90,
9,223.00,827.49,
10,602.00,2083.44,
9,970.00,213.74,
10,1037.00,968.30,
8,886.00,1350.03,
9,1039.00,1330.31,
11,968.00,1558.26,
11,561.00,325.85,
8,164.00,1590.94,
10,448.00,497.33,
11,1075.00,2070.49,
9,561.00,1508.97,
10,587.00,1869.74,
7,847.00,672.46,
6,836.00,233.10,
1,953.00,1165.90,
4,907.00,289.91,
2,636.00,1222.89,
5,608.00,208.47,
1,658.00,831.92,
2,961.00,1160.73,
3,733.00,1094.09,
7,633.00,1004.04,
1,995.00,799.54,
2,804.00,1000.73,
4,623.00,779.78,
1,881.00,979.66,
2,653.00,994.80,
7,611.00,90.51,
5,846.00,462.08,
1,674.00,519.53,
2,734.00,848.54,
1,729.00,855.65,
6,754.00,893.98,
5,710.00,151.86,
3,720.00,447.94,
4,615.00,1113.95,
4,691.00,1180.46,
1,906.00,877.70,
5,974.00,634.93,
6,605.00,1173.36,
1,641.00,987.55,
4,764.00,550.89,
2,679.00,112.77,
2,930.00,115.16,
2,874.00,298.18,
7,990.00,992.07,
3,793.00,999.93,
4,745.00,286.12,
3,609.00,461.00,
2,903.00,51.49,
5,843.00,378.05,
5,932.00,455.93,
3,725.00,112.02,
5,771.00,91.77,
3,815.00,951.24,
7,759.00,712.74,
7,671.00,125.76,
3,727.00,738.52,
4,799.00,926.48,
2,873.00,72.47,
1,807.00,789.14,
5,869.00,574.16,
7,799.00,1019.86,
4,909.00,573.21,
2,842.00,333.45,
5,867.00,568.50,
2,625.00,435.72,
3,686.00,312.73,
2,881.00,1071.94,
3,908.00,1069.38,
2,626.00,354.60,
3,621.00,290.87,
3,631.00,413.93,
2,685.00,870.75,
6,958.00,1150.07,
3,819.00,1057.52,
2,773.00,95.48,
5,732.00,1234.94,
5,941.00,840.25,
1,930.00,662.74,
3,745.00,219.84,
1,916.00,899.59,
7,671.00,382.72,
2,644.00,859.31,
3,929.00,1069.45,
3,671.00,1047.82,
3,916.00,982.91,
6,668.00,554.34,
2,840.00,1140.61,
2,659.00,368.17,
3,758.00,371.29,
7,618.00,713.57,
4,621.00,330.05,
5,909.00,382.46,
1,928.00,1155.97,
1,673.00,407.71,
4,961.00,756.98,
2,924.00,504.06,
7,988.00,983.04,
1,828.00,62.05,
3,617.00,636.04,
5,637.00,901.81,
2,781.00,397.22,
5,852.00,391.78,
1,916.00,528.22,
2,724.00,1153.01,
7,771.00,1128.93,
6,795.00,511.77,
4,717.00,1004.20,
3,921.00,469.02,
6,891.00,447.64,
6,686.00,1158.71,
10,481.00,479.49,
1,631.00,598.99,
9,374.00,473.49,
8,583.00,652.49,
3,561.00,635.99,
3,214.00,537.99,
10,91.00,661.49,
6,593.00,380.99,
7,62.00,63.49,
9,436.00,797.49,
2,806.00,384.49,
3,738.00,772.99,
10,125.00,347.49,
7,748.00,111.49,
8,196.00,467.49,
6,71.00,363.49,
10,832.00,509.99,
3,441.00,120.99,
8,801.00,710.99,
3,353.00,103.49,
5,762.00,545.99,
3,227.00,512.99,
6,433.00,251.49,
8,500.00,148.99,
6,227.00,488.99,
6,297.00,507.99,
8,659.00,674.49,
4,368.00,633.49,
4,162.00,145.49,
9,762.00,692.99,
4,177.00,196.99,
3,825.00,310.99,
8,210.00,792.99,
4,798.00,611.99,
4,264.00,496.99,
10,759.00,810.49,
6,640.00,74.49,
3,804.00,560.49,
10,150.00,129.49,
3,675.00,709.49,
7,761.00,264.99,
10,384.00,353.99,
2,499.00,490.49,
1,397.00,735.49,
6,73.00,274.99,
9,694.00,474.99,
2,689.00,86.99,
5,223.00,785.49,
10,517.00,668.99,
3,596.00,291.49,
1,433.47,200.17,
1,361.45,293.26,
1,426.87,370.23,
1,388.50,786.90,
2,779.35,899.04,
2,565.77,504.44,
3,778.34,566.08,
3,1177.15,162.38,
1,325.99,575.68,
1,268.21,863.78,
3,954.91,510.15,
3,1000.97,423.79,
2,653.63,661.58,
2,582.77,635.19,
3,1096.20,834.56,
1,401.78,601.52,
3,988.12,553.67,
2,806.90,841.31,
2,855.34,894.43,
1,256.67,424.79,
3,965.03,141.76,
2,549.17,812.66,
3,753.78,822.50,
2,590.71,864.93,
2,781.95,530.21,
3,1252.29,401.95,
2,803.52,804.34,
3,1120.65,722.51,
3,1142.55,523.13,
1,331.70,537.72,
2,549.33,477.49,
2,688.49,521.50,
1,338.50,317.38,
1,334.04,413.75,
3,1078.95,411.04,
2,855.30,369.34,
3,1138.76,798.20,
2,883.98,613.62,
3,812.76,225.87,
3,1248.84,738.48,
1,272.37,649.32,
2,654.88,114.82,
1,408.46,547.84,
3,1001.77,319.53,
1,445.60,460.16,
1,287.52,410.39,
2,775.05,803.21,
2,541.81,741.29,
3,1132.53,418.09,
3,1251.09,162.84,
2,789.97,715.83,
2,840.96,613.85,
2,760.34,301.78,
1,275.39,290.54,
2,770.10,756.19,
1,262.43,294.99,
3,1301.45,351.22,
2,603.13,370.18,
2,818.36,626.06,
2,684.96,198.12,
2,678.10,645.70,
3,785.61,193.84,
2,610.59,423.86,
1,284.28,573.66,
1,277.02,352.96,
2,809.16,571.96,
3,1022.71,166.54,
3,959.24,839.34,
2,734.84,632.73,
1,354.56,576.14,
3,1023.03,636.39,
3,1213.43,291.53,
3,877.99,843.39,
1,296.78,564.88,
1,318.20,739.42,
1,257.52,596.37,
2,681.43,303.32,
1,372.20,837.52,
3,1164.80,516.89,
1,295.27,492.73,
2,601.30,453.81,
3,756.03,622.23,
1,435.03,828.79,
2,826.24,326.90,
1,404.81,296.00,
1,370.51,845.76,
3,1348.59,643.79,
1,348.64,391.87,
3,831.62,756.87,
2,633.16,331.36,
1,425.87,871.81,
2,660.40,804.53,
2,507.53,708.66,
1,325.25,137.92,
1,327.80,588.30,
1,280.86,556.80,
3,778.51,835.46,
3,951.97,752.25,
1,355.38,512.58,
3,1263.27,341.13,
6,176.28,1258.98,
6,108.90,883.68,
6,202.45,1004.71,
9,213.89,1052.62,
5,146.53,1013.62,
5,89.08,252.45,
8,158.81,337.00,
7,113.84,519.52,
8,110.92,831.72,
6,89.81,1186.37,
8,225.00,467.53,
5,171.63,1291.57,
9,222.77,600.30,
7,159.44,360.51,
6,91.69,1263.17,
9,134.56,286.44,
5,73.06,617.52,
5,75.50,455.96,
9,107.96,665.92,
9,188.80,999.66,
5,172.38,424.04,
6,171.38,230.39,
6,167.07,662.02,
9,327.51,1103.06,
7,78.59,978.78,
9,155.14,274.69,
8,110.51,1241.10,
8,164.17,324.01,
8,239.99,922.83,
6,199.34,235.26,
8,110.08,276.55,
6,154.38,849.34,
5,108.81,454.55,
6,69.34,357.47,
9,187.81,404.58,
6,141.73,1355.67,
9,217.31,969.58,
8,289.14,644.78,
5,123.75,887.34,
9,247.11,869.23,
8,154.78,1330.84,
9,324.60,529.55,
8,278.28,768.69,
8,262.93,1286.83,
9,219.83,282.75,
6,202.89,1146.49,
5,196.67,1287.69,
9,196.20,877.97,
5,78.67,746.61,
5,64.61,1185.92,
8,192.02,1128.66,
6,150.51,538.46,
9,231.78,1278.60,
5,126.28,1283.41,
5,65.56,430.65,
6,88.56,1228.95,
6,168.28,629.76,
6,151.28,208.96,
5,82.26,681.53,
6,139.56,1386.83,
7,266.82,553.82,
8,211.95,826.13,
5,58.26,1008.35,
9,127.15,1256.60,
6,62.96,1267.70,
7,203.20,551.10,
5,114.06,871.03,
5,130.83,1201.76,
7,241.77,1071.36,
6,221.64,339.96,
9,284.05,1141.06,
5,60.47,211.13,
5,78.74,1308.25,
5,67.72,299.35,
9,355.94,360.22,
5,183.43,1136.34,
9,320.32,914.27,
6,105.64,533.01,
9,333.05,1076.69,
5,54.10,846.26,
5,134.48,719.68,
6,199.20,457.99,
8,220.73,345.71,
6,226.82,1197.75,
9,180.95,573.25,
7,108.53,388.75,
7,153.79,1347.03,
5,137.19,1301.52,
8,303.56,205.85,
7,236.94,1323.63,
5,139.04,209.38,
7,160.74,824.95,
6,193.41,483.20,
9,134.12,719.80,
9,288.43,649.06,
5,86.28,973.41,
6,179.48,348.01,
9,98.74,954.21,
5,174.27,1391.87,
6,70.83,601.32,
8,817.00,1110.29,
7,986.00,1205.82,
9,1004.00,1323.92,
9,904.00,1013.85,
6,1067.00,1622.51,
9,1124.00,1493.19,
9,959.00,1166.22,
7,1180.00,1602.70,
7,1128.00,1062.71,
7,1044.00,1696.40,
8,1140.00,1392.93,
7,1164.00,1410.78,
8,807.00,1534.06,
7,1146.00,1736.56,
9,963.00,1663.90,
9,1004.00,1398.73,
9,831.00,1534.89,
9,957.00,1179.02,
8,912.00,1430.54,
8,1041.00,1639.18,
8,905.00,1619.56,
8,808.00,1461.82,
7,990.00,1087.81,
7,981.00,1737.94,
9,989.00,1099.70,
6,1171.00,1599.03,
7,928.00,1233.78,
8,1149.00,1121.03,
6,802.00,1593.81,
7,1133.00,1279.86,
9,905.00,1616.54,
9,877.00,1176.37,
7,1143.00,1452.33,
7,1149.00,1609.84,
7,1122.00,1150.70,
9,877.00,1743.03,
6,882.00,1482.15,
9,1057.00,1410.97,
9,1150.00,1791.96,
6,824.00,1547.56,
8,826.00,1310.47,
9,1069.00,1372.94,
7,1113.00,1555.96,
8,809.00,1268.68,
8,813.00,1400.63,
9,1081.00,1608.05,
7,850.00,1731.77,
9,873.00,1749.38,
9,1167.00,1335.68,
8,1199.00,1200.51,
6,948.00,1488.23,
8,1031.00,1513.88,
6,1154.00,1140.09,
7,946.00,1515.25,
9,1119.00,1418.19,
8,966.00,1796.25,
7,1003.00,1589.65,
8,1029.00,1061.78,
6,1153.00,1305.31,
6,1177.00,1083.48,
6,1150.00,1627.62,
7,880.00,1775.57,
6,1055.00,1793.52,
8,950.00,1525.47,
7,1002.00,1731.44,
8,1070.00,1747.86,
7,1167.00,1503.82,
6,1020.00,1550.54,
9,1163.00,1544.70,
6,900.00,1478.53,
9,1183.00,1206.35,
7,953.00,1237.55,
7,915.00,1608.92,
7,1126.00,1736.21,
9,946.00,1763.50,
8,1193.00,1129.55,
7,832.00,1450.05,
7,1090.00,1224.79,
9,993.00,1470.02,
6,1111.00,1322.07,
9,960.00,1532.85,
7,853.00,1089.72,
9,805.00,1340.20,
9,1117.00,1768.53,
8,907.00,1028.99,
8,837.00,1104.20,
8,1106.00,1588.21,
7,824.00,1178.86,
6,1105.00,1283.96,
7,1165.00,1135.12,
6,932.00,1497.49,
7,1075.00,1356.84,
9,1103.00,1337.39,
8,829.00,1487.89,
9,975.00,1277.24,
9,826.00,1403.07,
8,1169.00,1572.80,
7,1118.00,1033.63,
6,933.00,1335.99,
8,963.00,1579.96,
1,576.00,2373.15,
1,152.00,2209.06,
10,512.00,80.42,
14,504.00,2259.82,
4,328.00,1501.71,
4,901.00,86.96,
8,911.00,492.05,
8,1049.00,526.75,
3,519.00,360.18,
12,788.00,421.27,
12,1129.00,1234.30,
3,793.00,1975.29,
14,659.00,1076.39,
14,89.00,1652.22,
2,1014.00,1680.98,
14,904.00,1248.44,
11,368.00,1514.77,
7,817.00,2113.72,
12,624.00,2351.83,
13,1146.00,427.72,
3,213.00,2375.24,
13,1064.00,1186.78,
11,513.00,1428.36,
13,446.00,1531.67,
11,560.00,947.22,
9,270.00,1056.21,
6,298.00,1793.43,
8,291.00,411.83,
13,627.00,1729.02,
8,1132.00,627.48,
12,509.00,2475.72,
6,223.00,2209.25,
12,1014.00,847.28,
1,53.00,1381.07,
4,1068.00,1056.57,
11,1047.00,1596.76,
9,56.00,197.71,
13,437.00,1777.40,
12,97.00,1248.58,
4,51.00,173.85,
9,1063.00,1609.01,
9,1082.00,995.41,
11,488.00,612.55,
4,410.00,329.09,
1,603.00,1650.51,
11,443.00,1578.59,
13,913.00,2242.16,
3,1056.00,92.97,
12,65.00,2436.96,
1,940.00,2332.81,
8,222.00,2360.99,
6,304.00,1093.53,
12,768.00,443.16,
12,1085.00,1149.00,
10,113.00,2082.66,
12,117.00,586.42,
8,807.00,773.93,
6,1190.00,1834.53,
4,43.00,1867.22,
13,1045.00,2409.07,
9,997.00,497.50,
11,541.00,385.08,
1,48.00,843.74,
1,75.00,114.73,
5,1034.00,723.89,
3,71.00,1557.64,
9,515.00,756.50,
11,1124.00,1932.80,
1,583.00,2410.52,
9,350.00,269.75,
11,1166.00,538.75,
1,667.00,2006.02,
3,743.00,1107.23,
4,182.00,159.32,
7,85.00,1790.44,
4,691.00,1656.88,
8,1084.00,658.58,
6,602.00,1875.89,
1,542.00,662.37,
11,79.00,1288.84,
13,688.00,133.25,
10,539.00,305.48,
4,255.00,2434.30,
7,842.00,1199.60,
1,134.00,754.27,
11,1183.00,690.60,
7,174.00,1182.78,
14,26.00,1295.70,
5,910.00,310.13,
12,591.00,2344.58,
10,1148.00,1253.14,
1,1153.00,640.68,
11,804.00,593.41,
1,975.00,1343.91,
2,1052.00,1311.89,
5,703.00,2310.77,
9,994.00,2301.21,
2,201.00,1655.83,
2,161.00,1029.57,
5,346.00,871.39,
13,357.00,934.61,
6,1029.00,2050.57,
8,579.00,2268.55,
13,420.00,2369.66,
7,1150.00,2287.73,
8,932.00,1924.74,
7,977.00,2230.53,
6,922.00,1712.35,
1,600.00,1935.12,
11,481.00,1804.18,
12,1200.00,198.12,
4,163.00,1099.16,
13,509.00,22.91,
3,676.00,1242.67,
1,1189.00,1464.17,
10,684.00,641.56,
11,1081.00,614.35,
2,593.00,1716.87,
10,445.00,907.42,
4,1090.00,1617.95,
5,1084.00,106.66,
11,696.00,859.36,
6,879.00,1293.90,
7,659.00,626.92,
3,14.00,1435.31,
11,1106.00,1083.85,
13,549.00,95.78,
5,1014.00,1117.39,
4,574.00,1650.50,
13,500.00,1514.80,
1,780.00,221.55,
5,733.00,900.57,
2,381.00,1987.64,
1,22.00,1427.07,
2,286.00,647.92,
4,205.00,2460.47,
2,1034.00,794.30,
1,188.00,1564.89,
8,860.00,2376.18,
2,203.00,1419.05,
1,615.00,730.72,
3,284.00,1599.53,
4,922.00,118.84,
13,484.00,1526.43,
7,688.00,452.70,
10,1127.00,1869.42,
12,880.00,1363.64,
5,808.00,579.68,
3,505.00,694.38,
13,237.00,1239.24,
6,527.00,1789.29,
11,359.00,1094.25,
12,1190.00,862.07,
11,1104.00,1108.62,
7,669.00,950.57,
5,361.00,163.23,
6,383.00,1543.06,
1,510.00,725.45,
6,1188.00,488.90,
10,711.00,1368.93,
13,603.00,2228.88,
12,37.00,43.66,
1,172.00,787.13,
3,158.00,2306.70,
11,69.00,1913.18,
12,284.00,662.12,
10,140.00,368.35,
5,632.00,1545.73,
8,723.00,902.34,
12,1076.00,1001.43,
13,876.00,891.84,
14,833.00,2422.03,
6,459.00,593.63,
13,1202.00,824.34,
4,56.00,1735.86,
3,266.00,2172.78,
10,519.00,1526.43,
14,1094.00,2182.28,
7,435.00,2479.02,
9,699.00,2009.79,
10,266.00,594.74,
11,964.00,2283.57,
11,825.00,1321.23,
11,11.00,2099.14,
10,357.00,2269.01,
3,485.00,2077.18,
3,459.00,198.79,
3,9.00,1047.09,
3,838.00,397.08,
11,997.00,588.91,
13,882.00,1693.29,
12,1027.00,873.45,
3,1073.00,989.19,
6,256.00,1138.83,
7,909.00,189.71,
7,460.00,1113.62,
9,683.00,1513.82,
8,819.00,1838.36,
3,157.00,1527.37,
10,473.00,1533.74,
2,1106.00,1360.12,
3,219.00,2024.08,
14,567.00,2180.32,
7,386.00,1244.22,
5,716.00,523.74,
10,490.00,1941.60,
2,507.00,2294.64,
3,973.00,2384.47,
6,345.00,2002.71,
13,888.00,1686.78,
3,656.00,1642.27,
12,732.00,839.55,
5,1204.00,2342.56,
2,870.00,1743.00,
10,564.00,2459.18,
13,1177.00,1097.08,
14,261.00,2156.06,
11,1135.00,1682.88,
3,1022.00,1891.89,
10,374.00,620.20,
5,133.00,894.29,
14,1084.00,1376.89,
7,1094.00,1630.05,
9,1058.00,1583.86,
4,104.00,1526.31,
6,581.00,2384.41,
2,1192.00,576.89,
3,146.00,546.62,
3,559.00,1448.86,
12,1183.00,613.48,
2,22.00,2257.38,
11,429.00,577.44,
11,784.00,508.24,
8,918.00,1524.35,
13,723.00,1949.98,
4,725.00,1440.29,
12,1052.00,815.85,
14,901.00,1261.51,
13,1001.00,1699.89,
12,468.00,1645.68,
4,563.00,1926.83,
7,345.00,1660.76,
11,602.00,1634.67,
5,598.00,1097.35,
13,966.00,1499.92,
13,464.00,970.14,
3,283.00,1269.46,
6,1118.00,1403.27,
10,745.00,2247.07,
7,1093.00,2257.72,
3,548.00,349.79,
4,320.00,575.74,
12,936.00,1654.16,
8,460.00,2403.57,
12,393.00,1282.42,
14,1144.00,1943.83,
6,321.00,1639.35,
11,1126.00,2477.21,
10,93.00,1484.80,
11,1196.00,1931.08,
13,819.00,101.93,
12,554.00,1915.10,
7,280.00,374.74,
8,403.00,1576.88,
4,985.00,2239.09,
6,610.00,1985.99,
4,454.00,1022.79,
3,676.00,2070.13,
14,183.00,232.13,
11,684.00,1584.13,
5,614.00,1985.91,
13,65.00,151.94,
6,214.00,1974.21,
10,863.00,2117.18,
10,185.00,84.54,
11,996.00,326.30,
11,456.00,2092.42,
9,1148.00,2108.95,
14,245.00,1630.06,
5,286.00,1233.52,
4,77.00,895.96,
8,191.00,766.46,
2,241.00,918.64,
2,778.00,1420.74,
1,749.00,2354.17,
7,227.00,540.16,
6,832.00,1663.49,
7,848.00,200.25,
9,748.00,455.86,
6,780.00,1489.85,
7,120.00,2150.42,
5,67.00,846.38,
13,559.00,2320.49,
9,1100.00,347.01,
5,596.00,710.14,
9,348.00,1190.46,
7,119.00,182.73,
12,1042.00,347.80,
6,400.00,834.93,
7,683.00,1657.60,
10,142.00,246.28,
13,985.00,341.57,
2,697.00,720.17,
14,955.00,2406.18,
1,1040.00,1618.05,
13,145.00,968.78,
13,765.00,876.94,
7,658.00,2149.80,
11,97.00,522.99,
14,434.00,2023.28,
13,198.00,2341.11,
11,556.00,363.10,
13,572.00,10.34,
7,449.00,1763.90,
9,331.00,2070.01,
3,478.00,1010.31,
12,208.00,1540.87,
14,115.00,1272.87,
12,297.00,2372.64,
5,540.00,1556.64,
4,207.00,2458.49,
14,145.00,1235.63,
1,984.00,564.51,
9,462.00,964.16,
3,121.00,2319.92,
4,717.00,1735.25,
8,1045.00,283.42,
4,666.00,2188.11,
13,412.00,1319.85,
5,1060.00,273.14,
8,113.00,2418.47,
14,738.00,128.67,
8,820.00,1055.48,
12,9.00,1415.28,
7,625.00,836.48,
1,202.00,761.30,
8,352.00,836.61,
14,778.00,1213.02,
12,213.00,2322.06,
2,964.00,597.26,
10,950.00,2113.39,
5,293.00,1170.63,
9,1089.00,53.53,
8,936.00,893.86,
8,106.00,1837.68,
1,925.00,2262.04,
2,593.00,24.75,
11,614.00,111.00,
12,649.00,2065.18,
14,473.00,1033.67,
8,554.00,480.40,
5,1043.00,330.74,
14,432.00,1448.60,
6,952.00,463.65,
14,1189.00,321.94,
12,542.00,2249.76,
9,580.00,1275.75,
8,152.00,1219.63,
9,309.00,460.93,
13,481.00,2069.53,
12,1087.00,699.79,
14,138.00,1319.25,
7,907.00,2061.37,
14,791.00,552.20,
4,477.00,2198.19,
4,1130.00,1304.39,
11,858.00,1060.51,
7,283.00,380.62,
12,422.00,2321.63,
9,843.00,874.30,
4,600.00,1346.45,
9,603.00,877.96,
12,965.00,2345.38,
2,642.00,632.56,
7,525.00,1992.53,
2,1106.00,1109.85,
7,1103.00,2390.78,
8,1017.00,1332.77,
4,1162.00,1165.14,
6,510.00,1568.37,
4,512.00,1317.65,
9,1152.00,2070.68,
11,256.00,1501.78,
9,400.00,604.22,
2,446.00,892.69,
2,138.00,2401.44,
5,764.00,728.66,
4,426.00,1521.33,
11,506.00,1571.75,
11,1046.00,1099.46,
3,958.00,1206.36,
10,30.00,869.54,
13,813.00,25.12,
5,328.00,851.76,
10,196.00,1145.73,
4,1044.00,764.26,
8,909.00,1065.44,
14,68.00,2216.81,
12,465.00,1932.45,
3,33.00,1537.58,
7,672.00,1279.62,
8,727.00,1037.24,
1,258.00,187.35,
14,1018.00,1740.67,
1,675.00,1989.70,
7,681.00,1212.42,
9,471.00,1924.01,
7,791.00,1427.08,
14,509.00,1357.03,
5,748.00,334.13,
6,61.00,433.64,
12,293.00,714.34,
6,224.00,449.44,
14,101.00,2119.72,
6,768.00,1967.49,
11,866.00,1224.07,
4,162.00,253.47,
1,1138.00,1413.97,
5,732.00,1542.85,
9,455.00,1134.02,
11,21.00,1978.76,
3,604.00,2159.71,
11,737.00,504.04,
8,909.00,2084.56,
11,571.00,327.26,
9,522.00,1351.55,
13,202.00,1124.59,
2,1124.00,1367.83,
14,587.00,2002.28,
10,665.00,2386.27,
9,121.00,57.81,
8,622.00,2309.96,
5,131.00,461.60,
9,406.00,1553.75,
13,993.00,833.49,
13,308.00,1396.63,
5,288.00,596.76,
3,738.00,1352.85,
11,620.00,604.47,
12,324.00,354.97,
13,69.00,2402.65,
13,125.00,164.64,
11,117.00,1449.35,
12,421.00,1156.80,
12,122.00,2499.74,
13,902.00,1805.97,
13,395.00,2080.24,
8,141.00,2173.95,
12,749.00,358.90,
10,882.00,145.96,
5,1052.00,1256.63,
11,156.00,848.03,
4,616.00,1896.26,
5,1162.00,758.67,
2,409.00,722.18,
1,83.00,1652.36,
13,531.00,658.32,
